tube_no,collection_date,collection_site,colony_id,replicate
71,20200103,site2,POC_248,1
72,20200103,site2,POC_248,2
73,20200103,site2,POC_200,1
74,20200103,site2,POC_200,2
75,20200103,site2,POC_201,1
76,20200103,site2,POC_201,2
77,20200103,site2,POC_205,1
78,20200103,site2,POC_205,2
79,20200103,site2,POC_207,1
80,20200103,site2,POC_207,2
81,20200103,site2,POC_217,1
82,20200103,site2,POC_217,2
83,20200103,site2,POC_219,1
84,20200103,site2,POC_219,2
89,20200106,site3,POC_359,1
90,20200106,site3,POC_359,2
91,20200106,site3,ACR_363,1
92,20200106,site3,ACR_363,2
97,20200106,site3,POR_367,1
98,20200106,site3,POR_367,2
95,20200106,site3,POC_372,1
96,20200106,site3,POC_372,2
85,20200106,site3,ACR_351,1
86,20200106,site3,ACR_351,2
87,20200106,site3,POC_394,1
88,20200106,site3,POC_394,2
93,20200106,site3,ACR_364,1
94,20200106,site3,ACR_364,2
99,20200106,site3,POC_346,1
100,20200106,site3,POC_346,2
103,20200106,site3,POC_391,1
104,20200106,site3,POC_391,2
101,20200106,site3,POC_358,1
102,20200106,site3,POC_358,2
109,20200106,site3,POR_344,1
110,20200106,site3,POR_344,2
111,20200106,site3,POR_381,1
112,20200106,site3,POR_381,2
105,20200106,site3,POC_369,1
106,20200106,site3,POC_369,2
107,20200106,site3,ACR_345,1
108,20200106,site3,ACR_345,2
113,20200106,site3,ACR_350,1
114,20200106,site3,ACR_350,2
115,20200106,site3,POR_387,1
116,20200106,site3,POR_387,2
121,20200106,site3,ACR_396,1
122,20200106,site3,ACR_396,2
123,20200106,site3,POC_371,1
124,20200106,site3,POC_371,2
125,20200106,site3,POR_355,1
126,20200106,site3,POR_355,2
127,20200106,site3,ACR_389,1
128,20200106,site3,ACR_389,2
133,20200106,site3,POC_395,1
134,20200106,site3,POC_395,2
135,20200106,site3,POC_378,1
136,20200106,site3,POC_378,2
117,20200106,site3,POC_386,1
118,20200106,site3,POC_386,2
119,20200106,site3,ACR_374,1
120,20200106,site3,ACR_374,2
129,20200106,site3,ACR_390,1
130,20200106,site3,ACR_390,2
131,20200106,site3,POR_357,1
132,20200106,site3,POR_357,2
137,20200106,site3,POC_366,1
138,20200106,site3,POC_366,2
139,20200106,site3,ACR_393,1
140,20200106,site3,ACR_393,2
143,20200106,site3,ACR_379,1
144,20200106,site3,ACR_379,2
145,20200106,site3,POR_380,1
146,20200106,site3,POR_380,2
149,20200106,site3,POR_365,1
150,20200106,site3,POR_365,2
151,20200106,site3,POR_384,1
152,20200106,site3,POR_384,2
159,20200106,site3,POC_373,1
160,20200106,site3,POC_373,2
161,20200106,site3,POC_377,1
162,20200106,site3,POC_377,2
163,20200106,site3,POR_340,1
164,20200106,site3,POR_340,2
169,20200106,site3,ACR_343,1
170,20200106,site3,ACR_343,2
173,20200106,site3,POR_349,1
174,20200106,site3,POR_349,2
141,20200106,site3,ACR_368,1
142,20200106,site3,ACR_368,2
147,20200106,site3,POR_354,1
148,20200106,site3,POR_354,2
153,20200106,site3,ACR_347,1
154,20200106,site3,ACR_347,2
155,20200106,site3,POC_375,1
156,20200106,site3,POC_375,2
157,20200106,site3,POR_353,1
158,20200106,site3,POR_353,2
165,20200106,site3,POR_362,1
166,20200106,site3,POR_362,2
167,20200106,site3,POR_383,1
168,20200106,site3,POR_383,2
171,20200106,site3,POR_357,1
172,20200106,site3,POR_357,2
175,20200110,site1,POR-70,1
176,20200110,site1,POR-70,2
177,20200110,site1,POR-78,1
178,20200110,site1,POR-78,2
179,20200110,site1,POC-68,1
180,20200110,site1,POC-68,2
181,20200110,site1,POR-77,1
182,20200110,site1,POR-77,2
183,20200110,site1,POC-65,1
184,20200110,site1,POC-65,2
185,20200110,site1,POR-82,1
186,20200110,site1,POR-82,2
187,20200110,site1,ACR-145,1
188,20200110,site1,ACR-145,2
189,20200110,site1,POC-48,1
190,20200110,site1,POC-48,2
191,20200110,site1,POR-71,1
192,20200110,site1,POR-71,2
193,20200110,site1,POR-75,1
194,20200110,site1,POR-75,2
195,20200110,site1,POR-69,1
196,20200110,site1,POR-69,2
197,20200110,site1,ACR-180,1
198,20200110,site1,ACR-180,2
199,20200110,site1,POC-47,1
200,20200110,site1,POC-47,2
201,20200110,site1,POR-76,1
202,20200110,site1,POR-76,2
203,20200110,site1,ACR-173,1
204,20200110,site1,ACR-173,2
205,20200110,site1,POC-44,1
206,20200110,site1,POC-44,2
207,20200110,site1,ACR-140,1
208,20200110,site1,ACR-140,2
209,20200110,site1,POR-79,1
210,20200110,site1,POR-79,2
211,20200110,site1,ACR-150,1
212,20200110,site1,ACR-150,2
213,20200110,site1,POC-52,1
214,20200110,site1,POC-52,2
215,20200110,site1,POR-183,1
216,20200110,site1,POR-183,2
217,20200110,site1,ACR-187,1
218,20200110,site1,ACR-187,2
219,20200110,site1,ACR-165,1
220,20200110,site1,ACR-165,2
221,20200110,site1,POC-43,1
222,20200110,site1,POC-43,2
223,20200110,site1,POR-80,1
224,20200110,site1,POR-80,2
225,20200110,site1,ACR-193,1
226,20200110,site1,ACR-193,2
227,20200110,site1,ACR-190,1
228,20200110,site1,ACR-190,2
229,20200110,site1,ACR-175,1
230,20200110,site1,ACR-175,2
231,20200110,site1,ACR-176,1
232,20200110,site1,ACR-176,2
233,20200110,site1,ACR-185,1
234,20200110,site1,ACR-185,2
235,20200110,site1,POR-72,1
236,20200110,site1,POR-72,2
237,20200110,site1,POC-40,1
238,20200110,site1,POC-40,2
239,20200110,site1,POC-53,1
240,20200110,site1,POC-53,2
241,20200110,site1,ACR-139,1
242,20200110,site1,ACR-139,2
243,20200110,site1,POR-81,1
244,20200110,site1,POR-81,2
245,20200110,site1,POC-56,1
246,20200110,site1,POC-56,2
247,20200110,site1,POR-74,1
248,20200110,site1,POR-74,2
249,20200110,site1,ACR-186,1
250,20200110,site1,ACR-186,2
251,20200110,site1,POR-73,1
252,20200110,site1,POR-73,2
253,20200110,site1,POC-41,1
254,20200110,site1,POC-41,2
255,20200110,site1,POC-55,1
256,20200110,site1,POC-55,2
257,20200110,site1,POC-42,1
258,20200110,site1,POC-42,2
259,20200110,site1,POC-57,1
260,20200110,site1,POC-57,2
261,20200110,site1,ACR-51,1
262,20200110,site1,ACR-51,2
263,20200110,site1,ACR-187,1
264,20200110,site1,ACR-187,2
265,20200110,site1,POC-50,1
266,20200110,site1,POC-50,2
